frame,track_id,class_id,confidence,xmin,ymin,xmax,ymax
110,1.0,3,0.6022,677.50,414.68,837.15,770.46
110,2.0,4,0.4601,1831.65,145.13,1919.87,1060.23
110,3.0,4,0.2149,1615.14,505.30,1919.78,1077.66
110,11.0,0,0.7936,789.11,264.06,862.73,309.53
111,1.0,3,0.7507,677.23,412.91,836.65,770.31
111,2.0,4,0.4622,1831.57,144.41,1919.86,1060.23
111,3.0,4,0.2010,1615.08,504.53,1920.00,1077.69
111,11.0,0,0.6846,795.02,247.22,868.90,293.06
112,1.0,3,0.7123,677.96,411.72,837.13,770.16
112,2.0,4,0.4730,1831.56,146.38,1919.67,1059.61
112,3.0,4,0.2173,1615.18,504.77,1920.00,1077.69
113,1.0,3,0.7551,678.70,412.34,837.26,770.18
113,2.0,4,0.4685,1831.63,146.40,1919.68,1058.74
113,3.0,4,0.2260,1615.46,506.16,1919.70,1077.74
114,1.0,3,0.7269,679.01,414.73,836.33,770.15
114,2.0,4,0.4634,1831.79,145.01,1919.88,1058.00
114,3.0,4,0.2102,1615.56,506.90,1919.52,1077.76
115,1.0,3,0.4957,679.76,415.33,836.41,769.50
115,2.0,4,0.4661,1831.61,142.49,1919.97,1058.58
115,3.0,4,0.2059,1615.57,506.44,1919.77,1077.75
116,1.0,3,0.5755,679.78,417.07,835.64,769.12
116,2.0,4,0.4601,1831.50,141.04,1920.00,1059.24
116,3.0,4,0.2065,1615.46,506.39,1919.72,1077.75
117,1.0,3,0.5023,679.52,416.01,836.07,768.98
117,2.0,4,0.4686,1831.42,139.88,1920.00,1059.61
117,3.0,4,0.2078,1615.36,505.43,1920.00,1077.68
118,1.0,3,0.7133,679.46,418.61,835.94,768.53
118,2.0,4,0.4754,1831.55,142.57,1919.98,1060.31
118,3.0,4,0.2227,1615.32,504.91,1920.00,1077.70
119,1.0,3,0.6619,679.51,420.26,836.34,767.90
119,2.0,4,0.4735,1831.84,144.95,1919.96,1059.49
119,3.0,4,0.2374,1615.39,505.01,1920.00,1077.65
120,1.0,3,0.5636,679.09,421.94,836.55,767.65
120,2.0,4,0.4733,1831.78,143.93,1920.00,1059.77
120,3.0,4,0.2317,1615.55,504.80,1920.00,1077.62
121,1.0,3,0.6920,677.76,423.84,835.84,767.48
121,2.0,4,0.4726,1831.80,143.88,1919.97,1059.36
121,3.0,4,0.2258,1615.38,503.96,1920.00,1077.64
122,1.0,3,0.7147,677.02,426.37,835.15,767.49
122,2.0,4,0.4715,1831.78,143.00,1920.00,1059.38
122,3.0,4,0.2379,1615.54,504.94,1920.00,1077.64
123,1.0,3,0.6981,675.19,426.67,834.19,768.17
123,2.0,4,0.4744,1831.72,142.18,1919.91,1058.16
123,3.0,4,0.2346,1615.54,504.67,1920.00,1077.62
124,1.0,3,0.7293,673.91,427.28,833.05,768.25
124,2.0,4,0.4701,1831.73,142.02,1919.98,1058.85
124,3.0,4,0.2345,1615.77,505.87,1919.85,1077.61
125,1.0,3,0.7062,673.41,427.59,832.75,768.44
125,2.0,4,0.4825,1831.65,143.25,1919.78,1058.34
125,3.0,4,0.2360,1615.77,505.65,1919.94,1077.58
126,1.0,3,0.7229,673.72,428.12,832.89,768.08
126,2.0,4,0.4795,1831.69,143.25,1919.90,1059.36
126,3.0,4,0.2333,1615.51,504.41,1920.00,1077.60
127,1.0,3,0.5902,675.04,428.77,833.96,767.66
127,2.0,4,0.4779,1831.83,143.62,1920.00,1059.61
127,3.0,4,0.2408,1615.17,503.25,1920.00,1077.67
128,1.0,3,0.6685,674.79,427.53,834.12,767.54
128,2.0,4,0.4813,1831.79,142.83,1919.96,1058.97
128,3.0,4,0.2208,1614.75,501.55,1920.00,1077.71
